127.0.0.1 - - [30/Sep/2022:13:20:49 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [30/Sep/2022:13:20:51 +0900] "GET /bookReviewProgram/mainSession.jsp HTTP/1.1" 200 12625
0:0:0:0:0:0:0:1 - - [30/Sep/2022:13:20:51 +0900] "GET /bookReviewProgram/css/center.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2022:13:20:51 +0900] "GET /bookReviewProgram/css/left.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2022:13:20:51 +0900] "GET /bookReviewProgram/css/header.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2022:13:20:51 +0900] "GET /bookReviewProgram/css/footer.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2022:13:20:51 +0900] "GET /bookReviewProgram/js/jquery-1.12.0.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2022:13:20:51 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [30/Sep/2022:13:20:54 +0900] "GET /bookReviewProgram/loginform.jsp HTTP/1.1" 200 1278
0:0:0:0:0:0:0:1 - - [30/Sep/2022:13:20:54 +0900] "GET /bookReviewProgram/css/loginForm.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2022:13:21:01 +0900] "POST /bookReviewProgram/loginformPro2.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Sep/2022:13:21:01 +0900] "GET /bookReviewProgram/mainSession.jsp HTTP/1.1" 200 12872
0:0:0:0:0:0:0:1 - - [30/Sep/2022:13:21:03 +0900] "GET /bookReviewProgram/mainSession.jsp?center=mbSelectPro.jsp HTTP/1.1" 200 8291
0:0:0:0:0:0:0:1 - - [30/Sep/2022:13:21:07 +0900] "GET /bookReviewProgram/mainSession.jsp?center=mbUpdateform.jsp&mb_id=admin HTTP/1.1" 200 7271
0:0:0:0:0:0:0:1 - - [30/Sep/2022:13:21:16 +0900] "GET /bookReviewProgram/mainSession.jsp?center=mbSelectPro.jsp HTTP/1.1" 200 8291
0:0:0:0:0:0:0:1 - - [30/Sep/2022:13:21:20 +0900] "GET /bookReviewProgram/mainSession.jsp?center=mbSelectPro.jsp HTTP/1.1" 200 8291
0:0:0:0:0:0:0:1 - - [30/Sep/2022:13:21:21 +0900] "GET /bookReviewProgram/mainSession.jsp?center=mbSelectPro.jsp HTTP/1.1" 200 8291
0:0:0:0:0:0:0:1 - - [30/Sep/2022:13:21:22 +0900] "GET /bookReviewProgram/mainSession.jsp?center=mbSelectPro.jsp HTTP/1.1" 200 8291
0:0:0:0:0:0:0:1 - - [30/Sep/2022:13:21:22 +0900] "GET /bookReviewProgram/mainSession.jsp?center=mbSelectPro.jsp HTTP/1.1" 200 8291
0:0:0:0:0:0:0:1 - - [30/Sep/2022:13:21:23 +0900] "GET /bookReviewProgram/mainSession.jsp?center=mbSelectPro.jsp HTTP/1.1" 200 8291
0:0:0:0:0:0:0:1 - - [30/Sep/2022:13:21:24 +0900] "GET /bookReviewProgram/mainSession.jsp?center=mbSelectPro.jsp HTTP/1.1" 200 8291
